Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,random,8,24,1,-6.3,4.724,2
Vina,A,random,9,24,1,-6.3,5.769,2
Vina,A,random,10,24,1,-6.3,4.462,2
Vina,A,random,11,24,1,-6.3,4.934,2
Vina,A,random,12,24,1,-6.2,5.200,2
Vina,A,random,13,24,1,-6.2,5.047,2
Vina,A,random,14,24,1,-6.2,5.019,2
Vina,A,random,15,24,1,-6.2,5.767,2
Vina,A,random,16,24,1,-6.2,4.455,2
Vina,A,random,17,24,1,-6.2,5.061,2
Vina,A,random,18,24,1,-6.2,5.481,2
Vina,A,random,19,24,1,-6.1,4.492,2
Vina,A,random,20,24,1,-6.0,5.213,2
Vina,A,random,1,24,1,-7.2,6.878,3
Vina,A,random,2,24,1,-7.2,5.363,3
Vina,A,random,3,24,1,-7.0,6.072,3
Vina,A,random,4,24,1,-6.8,4.169,3
Vina,A,random,5,24,1,-6.8,3.735,3
Vina,A,random,6,24,1,-6.8,6.077,3
Vina,A,random,7,24,1,-6.7,4.614,3
Vina,A,random,8,24,1,-6.7,4.991,3
Vina,A,random,9,24,1,-6.5,4.894,3
Vina,A,random,10,24,1,-6.5,4.883,3
Vina,A,random,11,24,1,-6.5,6.483,3
Vina,A,random,12,24,1,-6.5,5.738,3
Vina,A,random,13,24,1,-6.4,3.266,3
Vina,A,random,14,24,1,-6.4,4.914,3
Vina,A,random,15,24,1,-6.4,5.162,3
Vina,A,random,16,24,1,-6.4,4.702,3
Vina,A,random,17,24,1,-6.4,5.730,3
Vina,A,random,18,24,1,-6.3,6.503,3
Vina,A,random,19,24,1,-6.3,6.410,3
Vina,A,random,20,24,1,-6.2,4.963,3
Vina,A,random,1,24,3,-7.3,6.131,1
Vina,A,random,2,24,3,-7.2,6.711,1
Vina,A,random,3,24,3,-7.2,5.673,1
Vina,A,random,4,24,3,-7.1,5.394,1
Vina,A,random,5,24,3,-7.0,4.854,1
Vina,A,random,6,24,3,-6.9,5.347,1
Vina,A,random,7,24,3,-6.8,4.611,1
Vina,A,random,8,24,3,-6.7,4.313,1
Vina,A,random,9,24,3,-6.6,5.756,1
Vina,A,random,10,24,3,-6.5,5.580,1
Vina,A,random,11,24,3,-6.4,4.788,1
Vina,A,random,12,24,3,-6.4,5.119,1
Vina,A,random,13,24,3,-6.4,4.368,1
Vina,A,random,14,24,3,-6.4,4.968,1
Vina,A,random,15,24,3,-6.3,5.683,1
Vina,A,random,16,24,3,-6.3,5.967,1
Vina,A,random,17,24,3,-6.3,6.428,1
Vina,A,random,18,24,3,-6.3,5.702,1
Vina,A,random,19,24,3,-6.3,5.025,1
Vina,A,random,20,24,3,-6.3,5.015,1
Vina,A,random,1,24,3,-7.6,5.892,2
Vina,A,random,2,24,3,-7.6,4.855,2
Vina,A,random,3,24,3,-7.5,5.312,2
Vina,A,random,4,24,3,-7.4,4.469,2
Vina,A,random,5,24,3,-7.4,3.887,2
Vina,A,random,6,24,3,-7.3,5.879,2
Vina,A,random,7,24,3,-7.3,5.739,2
Vina,A,random,8,24,3,-7.2,5.754,2
Vina,A,random,9,24,3,-7.2,4.512,2
Vina,A,random,10,24,3,-7.2,4.957,2
Vina,A,random,11,24,3,-7.2,5.786,2
Vina,A,random,12,24,3,-7.2,5.200,2
Vina,A,random,13,24,3,-7.1,4.256,2
Vina,A,random,14,24,3,-7.1,5.114,2
Vina,A,random,15,24,3,-7.1,5.764,2
Vina,A,random,16,24,3,-7.0,4.765,2
Vina,A,random,17,24,3,-7.0,4.900,2
Vina,A,random,18,24,3,-7.0,4.900,2
Vina,A,random,19,24,3,-7.0,3.010,2
Vina,A,random,20,24,3,-6.9,5.019,2
Vina,A,random,1,24,3,-7.3,6.960,3
Vina,A,random,2,24,3,-6.9,5.291,3
Vina,A,random,3,24,3,-6.9,6.185,3
Vina,A,random,4,24,3,-6.8,5.033,3
Vina,A,random,5,24,3,-6.8,4.909,3
Vina,A,random,6,24,3,-6.7,5.780,3
Vina,A,random,7,24,3,-6.5,5.994,3
Vina,A,random,8,24,3,-6.5,6.389,3
Vina,A,random,9,24,3,-6.4,4.971,3
Vina,A,random,10,24,3,-6.3,5.268,3
Vina,A,random,11,24,3,-6.3,4.813,3
Vina,A,random,12,24,3,-6.3,3.573,3
Vina,A,random,13,24,3,-6.3,4.672,3
Vina,A,random,14,24,3,-6.2,4.372,3
Vina,A,random,15,24,3,-6.2,4.552,3
Vina,A,random,16,24,3,-6.2,5.154,3
Vina,A,random,17,24,3,-6.2,5.555,3
Vina,A,random,18,24,3,-6.2,5.714,3
Vina,A,random,19,24,3,-6.2,4.837,3
Vina,A,random,20,24,3,-6.0,5.032,3
Vina,A,random,1,32,1,-7.2,5.747,1
Vina,A,random,2,32,1,-6.9,4.943,1
Vina,A,random,3,32,1,-6.8,5.628,1
Vina,A,random,4,32,1,-6.8,5.099,1
Vina,A,random,5,32,1,-6.8,4.562,1
Vina,A,random,6,32,1,-6.7,5.575,1
Vina,A,random,7,32,1,-6.7,5.750,1
Vina,A,random,8,32,1,-6.7,5.317,1
Vina,A,random,9,32,1,-6.7,5.837,1
Vina,A,random,10,32,1,-6.6,1.687,1
Vina,A,random,11,32,1,-6.5,5.337,1
Vina,A,random,12,32,1,-6.5,4.262,1
Vina,A,random,13,32,1,-6.5,5.249,1
Vina,A,random,14,32,1,-6.5,5.238,1
Vina,A,random,15,32,1,-6.5,5.083,1
Vina,A,random,16,32,1,-6.4,5.529,1
Vina,A,random,17,32,1,-6.4,4.930,1
Vina,A,random,18,32,1,-6.4,5.905,1
Vina,A,random,19,32,1,-6.4,5.002,1
Vina,A,random,20,32,1,-6.4,4.867,1
Vina,A,random,1,32,1,-7.2,6.714,2
Vina,A,random,2,32,1,-6.8,5.481,2
Vina,A,random,3,32,1,-6.6,5.326,2
Vina,A,random,4,32,1,-6.5,5.179,2
Vina,A,random,5,32,1,-6.4,4.729,2
Vina,A,random,6,32,1,-6.4,5.441,2
Vina,A,random,7,32,1,-6.4,5.579,2
Vina,A,random,8,32,1,-6.4,4.956,2
Vina,A,random,9,32,1,-6.3,5.127,2
Vina,A,random,10,32,1,-6.3,5.238,2
Vina,A,random,11,32,1,-6.2,6.254,2
Vina,A,random,12,32,1,-6.2,6.013,2
Vina,A,random,13,32,1,-6.2,4.822,2
Vina,A,random,1,32,1,-7.2,5.146,3
Vina,A,random,2,32,1,-7.2,6.217,3
Vina,A,random,3,32,1,-6.7,5.129,3
Vina,A,random,4,32,1,-6.7,5.014,3
Vina,A,random,5,32,1,-6.6,5.543,3
Vina,A,random,6,32,1,-6.6,4.444,3
Vina,A,random,7,32,1,-6.5,5.472,3
Vina,A,random,8,32,1,-6.5,5.030,3
Vina,A,random,9,32,1,-6.5,5.083,3
Vina,A,random,10,32,1,-6.4,4.861,3
Vina,A,random,11,32,1,-6.4,4.522,3
Vina,A,random,12,32,1,-6.4,5.073,3
Vina,A,random,13,32,1,-6.4,4.022,3
Vina,A,random,14,32,1,-6.4,4.582,3
Vina,A,random,15,32,1,-6.3,6.015,3
Vina,A,random,16,32,1,-6.3,5.128,3
Vina,A,random,17,32,1,-6.3,5.485,3
Vina,A,random,18,32,1,-6.3,4.755,3
Vina,A,random,1,32,3,-7.4,5.166,1
Vina,A,random,2,32,3,-7.4,6.646,1
Vina,A,random,3,32,3,-7.3,6.391,1
Vina,A,random,4,32,3,-7.1,6.555,1
Vina,A,random,5,32,3,-7.1,4.534,1
Vina,A,random,6,32,3,-7.0,3.254,1
Vina,A,random,7,32,3,-7.0,5.510,1
Vina,A,random,8,32,3,-6.9,4.812,1
Vina,A,random,9,32,3,-6.8,4.684,1
Vina,A,random,10,32,3,-6.8,5.609,1
Vina,A,random,11,32,3,-6.8,4.477,1
Vina,A,random,12,32,3,-6.8,4.804,1
Vina,A,random,13,32,3,-6.8,5.575,1
Vina,A,random,14,32,3,-6.8,5.337,1
Vina,A,random,15,32,3,-6.7,4.507,1
Vina,A,random,16,32,3,-6.6,4.613,1
